,country,subregion,region,location,temperature,start_year,start_month,total_deaths,start_date,end_date,duration_days,duration,latitude,longitude,delta_temp_C,delta_temp_std
27,Japan,Eastern Asia,Asia,"Aiti, Ehime, Gifu, Gunma, Hirosima, Hukui, Hukuoka, Hukusima, Hyoogo, Ibaraki, Isikawa, Kagawa, Kagosima, Kanagawa, Kooti, Kumamoto, Kyooto, Mie, Miyagi, Miyazaki, Nagano, Nagasaki, Nara, Niigata, Okayama, Okinawa, Ooita, Oosaka, Saga, Saitama, Siga, Simane, Sizuoka, Tiba, Tokusima, Tookyoo, Totigi, Tottori, Toyama, Wakayama, Yamagata, Yamaguti, Yamanasi provinces",39.0,2014,7,27.0,2014-07-14,2014-07-29,15 days,15,40.0,140.0,27.912776691012002,10.83464299558964
28,India,Southern Asia,Asia,"Delhi, Andhra Pradesh, Orissa provinces",48.0,2015,5,2248.0,2015-05-20,2015-05-31,11 days,11,20.0,80.0,31.699143531157862,12.111414234351303
29,Pakistan,Southern Asia,Asia,"Sindh, Punjab provinces",45.0,2015,6,1229.0,2015-06-18,2015-06-24,6 days,6,30.0,70.0,31.649108289553382,14.362978113031735
30,Sudan,Northern Africa,Africa,Wadi Halfa district (Northern province),47.0,2015,8,16.0,2015-08-13,2015-08-15,2 days,2,20.0,30.0,31.44910828955338,14.272214240750548
31,France,Western Europe,Europe,"Alsace, Aquitaine, Auvergne, Basse-Normandie, Bourgogne, Bretagne, Centre, Champagne-Ardenne, Corse, Franche-Compte, Haute-Normandie, Ile-de-France, Languedoc-Rousillon, Limousin, Lorraine, Nord-Pas-de-Calais, Pays-de-la-Loire, Picardie, Poitou-Charentes, Provence-Alpes-Côte-D'azur, Rhône-Alpes, Midi-Pyrénées provinces",40.0,2015,6,3275.0,2015-06-29,2015-08-09,41 days,41,50.0,0.0,12.317118968247234,5.738049407294734
32,South Africa,Sub-Saharan Africa,Africa,Ngaka Modiri Molema (North West province),45.0,2016,1,11.0,2016-01-01,2016-01-10,9 days,9,-30.0,30.0,26.159077822995556,10.2361828549071
33,India,Southern Asia,Asia,"Andhra Pradesh, Rajasthan, Orissa, Bihar, Jharkhand, Tamil Nadu, Uttar Pradesh provinces",51.0,2016,4,300.0,2016-04-01,2016-05-20,49 days,49,20.0,80.0,25.865197911734626,9.928284037040466
34,India,Southern Asia,Asia,"Andhra Pradesh, Telangana, Maharashtra, Odisha (Orissa)",48.0,2017,4,264.0,2017-04-12,2017-06-15,64 days,64,20.0,80.0,28.401155834645294,11.415657325225446
35,Pakistan,Southern Asia,Asia,Karachi,42.0,2018,5,180.0,2018-05-18,2018-05-22,4 days,4,30.0,70.0,32.10115583464528,12.90901600966955
36,Canada,Northern America,Americas,"Gatineau, Montréal, Joliette, Saint-Hyacinthe, Saint-Jean-sur-Richelieu, Drummondville, Sherbrooke ,Outaouais, Laurentides, Lanaudière, Victoriaville Trois-Rivières, Québec, La Malbaie, Kamouraska, l’Abitibi-Témiscamingue, Saguenay—Lac-Saint-Jean (Quebec)",37.2,2018,6,70.0,2018-06-29,2018-07-05,6 days,6,,,30.401155834645294,12.222878235735775
37,Japan,Eastern Asia,Asia,Kumagaya (Saitama Prefecture),41.1,2018,7,119.0,2018-07-01,2018-07-15,14 days,14,40.0,140.0,30.401155834645294,12.222878235735775
38,United Kingdom of Great Britain and Northern Ireland,Northern Europe,Europe,,33.2,2018,6,820.0,2018-06-30,2018-07-10,10 days,10,51.0,0.0,32.401155834645294,13.030099146246098
39,Belgium,Western Europe,Europe,,35.0,2019,6,128.0,2019-06-21,2019-07-01,10 days,10,50.0,10.0,28.001155834645296,11.254213143123382
40,Germany,Western Europe,Europe,,38.6,2019,6,4.0,2019-06-24,2019-06-30,6 days,6,50.0,10.0,26.24752827123678,14.483675088834207
41,France,Western Europe,Europe,"Vaucluse, Bouches-du-Rhône, Hérault, Gard",46.0,2019,6,567.0,2019-06-24,2019-07-07,13 days,13,50.0,0.0,22.875100881892134,9.586026906734403
42,Belgium,Western Europe,Europe,,40.6,2019,7,400.0,2019-07-19,2019-07-27,8 days,8,50.0,10.0,27.866980662163574,13.156902275879386
43,France,Western Europe,Europe,Toute la France métropolitaine (excepté l'ouest de la Bretagne et la Corse),43.6,2019,7,868.0,2019-07-21,2019-07-27,6 days,6,50.0,0.0,25.766980662163576,12.145698745454379
44,Netherlands (Kingdom of the),Western Europe,Europe,,40.4,2019,7,400.0,2019-07-22,2019-07-27,5 days,5,50.0,10.0,34.06690584164383,13.297596193373359
45,Japan,Eastern Asia,Asia,,30.0,2019,7,162.0,2019-07-29,2019-08-08,10 days,10,40.0,140.0,26.56698066216357,12.530919137997245
46,Belgium,Western Europe,Europe,,35.0,2019,8,188.0,2019-08-23,2019-08-29,6 days,6,50.0,10.0,31.601155834645287,12.707210782041969
47,United Kingdom of Great Britain and Northern Ireland,Northern Europe,Europe,,38.7,2019,7,161.0,2019-07-21,2019-08-28,38 days,38,51.0,0.0,29.805307917655984,12.060969069737942
48,United States of America,Northern America,Americas,"Oregon, Washington, Northern California, Idaho, Western Nevada",46.8,2021,6,229.0,2021-06-26,2021-06-30,4 days,4,,,30.466905841643847,11.886699886948561
49,Japan,Eastern Asia,Asia,"Gunma, Tochigi, Yamanashi, Aichi, Tokyo",37.0,2022,6,80.0,2022-06-20,2022-07-01,11 days,11,40.0,140.0,30.466905841643847,11.886699886948561
50,Austria,Western Europe,Europe,,36.3,2022,5,419.0,2022-05-30,2022-09-04,97 days,97,50.0,10.0,30.04752827123678,16.60726446567131
51,Belgium,Western Europe,Europe,,40.0,2022,5,434.0,2022-05-30,2022-09-04,97 days,97,50.0,10.0,31.466905841643847,12.278615527622119
52,Switzerland,Western Europe,Europe,,38.3,2022,5,302.0,2022-05-30,2022-09-04,97 days,97,50.0,10.0,25.766980662163576,12.145698745454379
53,Switzerland,Western Europe,Europe,,38.3,2022,5,302.0,2022-05-30,2022-09-04,97 days,97,50.0,10.0,25.766980662163576,12.145698745454379
54,Germany,Western Europe,Europe,,40.3,2022,5,8173.0,2022-05-30,2022-09-04,97 days,97,50.0,10.0,29.166905841643832,11.377209554072937
55,Denmark,Northern Europe,Europe,"Abed, Stokkemarke Parish, Lolland, Copenhagen, Vordingborg",35.9,2022,5,252.0,2022-05-30,2022-09-04,97 days,97,50.0,10.0,32.76690584164383,12.788105860497746
56,Spain,Southern Europe,Europe,,43.2,2022,5,11324.0,2022-05-30,2022-09-04,97 days,97,40.0,0.0,58.74337916228295,16.254653710305767
57,Finland,Northern Europe,Europe,,32.5,2022,5,225.0,2022-05-30,2022-09-04,97 days,97,60.0,30.0,28.402372987778115,14.939936097964114
58,France,Western Europe,Europe,,42.0,2022,5,4807.0,2022-05-30,2022-09-04,97 days,97,50.0,0.0,40.028576563234274,25.95196341842474
59,United Kingdom of Great Britain and Northern Ireland,Northern Europe,Europe,,40.3,2022,5,3469.0,2022-05-30,2022-09-04,97 days,97,51.0,0.0,30.588918082322074,14.169654328780865
60,Greece,Southern Europe,Europe,,42.1,2022,5,3092.0,2022-05-30,2022-09-04,97 days,97,40.0,20.0,33.11291676420293,14.725346819703333
61,Croatia,Southern Europe,Europe,"Zagreb, Osijek, Karlovac, Slavonski Brod, Knin, Valopovo",40.0,2022,5,731.0,2022-05-30,2022-09-04,97 days,97,40.0,20.0,24.90057968806472,13.529710932051808
62,Hungary,Eastern Europe,Europe,,41.9,2022,5,513.0,2022-05-30,2022-09-04,97 days,97,50.0,20.0,30.752337312076207,11.799450750715451
63,Ireland,Northern Europe,Europe,,33.3,2022,5,26.0,2022-05-30,2022-09-04,97 days,97,51.0,0.0,17.50214478264288,7.991686181875437
