DisNo.,Historic,Classification Key,Disaster Group,Disaster Subgroup,Disaster Type,Disaster Subtype,External IDs,Event Name,ISO,Country,Subregion,Region,Location,Origin,Associated Types,OFDA/BHA Response,Appeal,Declaration,AID Contribution ('000 US$),Magnitude,Magnitude Scale,Latitude,Longitude,River Basin,Start Year,Start Month,Start Day,End Year,End Month,End Day,Total Deaths,No. Injured,No. Affected,No. Homeless,Total Affected,Reconstruction Costs ('000 US$),"Reconstruction Costs, Adjusted ('000 US$)",Insured Damage ('000 US$),"Insured Damage, Adjusted ('000 US$)",Total Damage ('000 US$),"Total Damage, Adjusted ('000 US$)",CPI,Admin Units,Entry Date,Last Update
2011-0573-JPN,No,nat-met-ext-hea,Natural,Meteorological,Extreme temperature,Heat wave,,,JPN,Japan,Eastern Asia,Asia,"Aiti, Ehime, Gifu, Gunma, Hirosima, Hukui, Hukuoka, Hukusima, Hyoogo, Ibaraki, Isikawa, Kagawa, Kagosima, Kanagawa, Kooti, Kumamoto, Kyooto, Mie, Miyagi, Miyazaki, Nagano, Nagasaki, Nara, Niigata, Okayama, Okinawa, Ooita, Oosaka, Saga, Saitama, Siga, Simane, Sizuoka, Tiba, Tokusima, Tookyoo, Totigi, Tottori, Toyama, Wakayama, Yamagata, Yamaguti, Yamanasi provinces",,,No,No,No,,35,°C,,,,2011,7,,2011,8,,36,22000,,,22000,,,,,,,71.70772361,"[{""adm1_code"":1651,""adm1_name"":""Aiti""},{""adm1_code"":1654,""adm1_name"":""Ehime""},{""adm1_code"":1655,""adm1_name"":""Hukui""},{""adm1_code"":1656,""adm1_name"":""Hukuoka""},{""adm1_code"":1657,""adm1_name"":""Hukusima""},{""adm1_code"":1658,""adm1_name"":""Gifu""},{""adm1_code"":1659,""adm1_name"":""Gunma""},{""adm1_code"":1660,""adm1_name"":""Hirosima""},{""adm1_code"":1662,""adm1_name"":""Hyoogo""},{""adm1_code"":1663,""adm1_name"":""Ibaraki""},{""adm1_code"":1664,""adm1_name"":""Isikawa""},{""adm1_code"":1666,""adm1_name"":""Kagawa""},{""adm1_code"":1667,""adm1_name"":""Kagosima""},{""adm1_code"":1668,""adm1_name"":""Kanagawa""},{""adm1_code"":1669,""adm1_name"":""Kooti""},{""adm1_code"":1670,""adm1_name"":""Kumamoto""},{""adm1_code"":1671,""adm1_name"":""Kyooto""},{""adm1_code"":1672,""adm1_name"":""Mie""},{""adm1_code"":1673,""adm1_name"":""Miyagi""},{""adm1_code"":1674,""adm1_name"":""Miyazaki""},{""adm1_code"":1675,""adm1_name"":""Nagano""},{""adm1_code"":1676,""adm1_name"":""Nagasaki""},{""adm1_code"":1677,""adm1_name"":""Nara""},{""adm1_code"":1678,""adm1_name"":""Niigata""},{""adm1_code"":1679,""adm1_name"":""Ooita""},{""adm1_code"":1680,""adm1_name"":""Okayama""},{""adm1_code"":1681,""adm1_name"":""Okinawa""},{""adm1_code"":1682,""adm1_name"":""Oosaka""},{""adm1_code"":1683,""adm1_name"":""Saga""},{""adm1_code"":1684,""adm1_name"":""Saitama""},{""adm1_code"":1685,""adm1_name"":""Siga""},{""adm1_code"":1686,""adm1_name"":""Simane""},{""adm1_code"":1687,""adm1_name"":""Sizuoka""},{""adm1_code"":1688,""adm1_name"":""Totigi""},{""adm1_code"":1689,""adm1_name"":""Tokusima""},{""adm1_code"":1690,""adm1_name"":""Tookyoo""},{""adm1_code"":1691,""adm1_name"":""Tottori""},{""adm1_code"":1692,""adm1_name"":""Toyama""},{""adm1_code"":1693,""adm1_name"":""Tiba""},{""adm1_code"":1694,""adm1_name"":""Wakayama""},{""adm1_code"":1695,""adm1_name"":""Yamagata""},{""adm1_code"":1696,""adm1_name"":""Yamaguti""},{""adm1_code"":1697,""adm1_name"":""Yamanasi""}]",2012-01-02,2023-09-25
2011-0627-NPL,No,nat-met-ext-col,Natural,Meteorological,Extreme temperature,Cold wave,GLIDE:CW-2011-000203,,NPL,Nepal,Southern Asia,Asia,"Taplejung, Ilam, Panchthar (Mechi district, Eastern province), Bhojpur, Sankhuwasava, Dhankuta, Tehrathum (Koshi district, Eastern province), Khotang, Solukhumbu (Sagarmatha district, Eastern province)",,,No,No,No,,,°C,,,,2011,12,,2012,1,,,,25000,,25000,,,,,,,71.70772361,"[{""adm2_code"":22354,""adm2_name"":""Koshi""},{""adm2_code"":22355,""adm2_name"":""Mechi""},{""adm2_code"":22356,""adm2_name"":""Sagarmatha""}]",2012-04-25,2023-09-25
2011-0628-POL,No,nat-met-ext-col,Natural,Meteorological,Extreme temperature,Cold wave,,,POL,Poland,Eastern Europe,Europe,"Dolnoslaskie, Kujawsko-Pomorskie, Lodzkie, Lubeiskie, Lubuskie, Malopolske, Mazowieckie, Opolskie, Podkarpackie, Podlaskie, Pomorskie, Slaskie, Swietokrzyskie, Warminsko-Mazurskie, Wielkopolskie, Zachodnio-Pomorskie provinces",,,No,No,No,,,°C,,,,2011,11,,2011,12,,26,,,,,,,,,,,71.70772361,"[{""adm1_code"":2370,""adm1_name"":""Dolnoslaskie""},{""adm1_code"":2371,""adm1_name"":""Kujawsko-Pomorskie""},{""adm1_code"":2372,""adm1_name"":""Lodzkie""},{""adm1_code"":2373,""adm1_name"":""Lubeiskie""},{""adm1_code"":2374,""adm1_name"":""Lubuskie""},{""adm1_code"":2375,""adm1_name"":""Malopolske""},{""adm1_code"":2376,""adm1_name"":""Mazowieckie""},{""adm1_code"":2377,""adm1_name"":""Opolskie""},{""adm1_code"":2378,""adm1_name"":""Podkarpackie""},{""adm1_code"":2379,""adm1_name"":""Podlaskie""},{""adm1_code"":2380,""adm1_name"":""Pomorskie""},{""adm1_code"":2381,""adm1_name"":""Slaskie""},{""adm1_code"":2382,""adm1_name"":""Swietokrzyskie""},{""adm1_code"":2383,""adm1_name"":""Warminsko-Mazurskie""},{""adm1_code"":2384,""adm1_name"":""Wielkopolskie""},{""adm1_code"":2385,""adm1_name"":""Zachodnio-Pomorskie""}]",2012-01-31,2023-09-25
2011-0641-NPL,No,nat-met-ext-col,Natural,Meteorological,Extreme temperature,Cold wave,,,NPL,Nepal,Southern Asia,Asia,"Kapilvastu, Nawalparasi, Rupandehi areas (Lumbini district, Western province), Parbat area (Dhawalagiri district, Western province), Bhojpur, Dhankuta, Morang, Sankhuwasava, Sunsari areas (Koshi district, Eastern province), Khotang, Saptari, Siraha areas (Sagarmatha district, Eastern province), Jhapa areas (Mechi district, Eastern province), Dhanusha, Mahottari, Sarlahi areas (Janakpur district, Central province), Bara, Chitwan, Parsa, Rautahat areas (Narayani district, Central province), Kanchanpur area (Mahakali district, Far Western province), Kailali area (Seti district, Far Western province), Banke, Bardiya, Dang areas (Bheri district, Mid Western province)",,,No,No,No,,,°C,,,,2011,1,11,2011,1,19,42,,,,,,,,,123,172,71.70772361,"[{""adm2_code"":22352,""adm2_name"":""Janakpur""},{""adm2_code"":22353,""adm2_name"":""Narayani""},{""adm2_code"":22354,""adm2_name"":""Koshi""},{""adm2_code"":22355,""adm2_name"":""Mechi""},{""adm2_code"":22356,""adm2_name"":""Sagarmatha""},{""adm2_code"":22357,""adm2_name"":""Mahakali""},{""adm2_code"":22358,""adm2_name"":""Seti""},{""adm2_code"":22361,""adm2_name"":""Bheri""},{""adm2_code"":22362,""adm2_name"":""Dhawalagiri""},{""adm2_code"":22364,""adm2_name"":""Lumbini""}]",2012-04-05,2023-09-25
2011-0643-IND,No,nat-met-ext-col,Natural,Meteorological,Extreme temperature,Cold wave,GLIDE:CW-2011-000197,,IND,India,Southern Asia,Asia,"Uttar Pradesh, Punjab, Haryana provinces",,,No,No,No,,0,°C,,,,2011,12,16,2011,12,31,132,,,,,,,,,,,71.70772361,"[{""adm1_code"":1492,""adm1_name"":""Haryana""},{""adm1_code"":1505,""adm1_name"":""Punjab""},{""adm1_code"":70081,""adm1_name"":""Uttar Pradesh""}]",2012-04-05,2025-06-25
2011-0661-CHL,No,nat-met-ext-sev,Natural,Meteorological,Extreme temperature,Severe winter conditions,GLIDE:CW-2011-000094,,CHL,Chile,Latin America and the Caribbean,Americas,"Lonquimay, Curacautín, Purén villages (Malleco district, Araucania province), Cunco, Pucón, Curarrehue, Melipeuco, Carahue, Vilcún, Villarrica villages (Cautin district, Araucania province), Alto Bio-bío village (Biobio district, Biobio province)",Cold front,,No,No,No,,-22,°C,,,,2011,7,13,2011,7,19,,,25475,,25475,,,,,,,71.70772361,"[{""adm2_code"":12935,""adm2_name"":""Cautin""},{""adm2_code"":12936,""adm2_name"":""Malleco""},{""adm2_code"":12945,""adm2_name"":""Biobio""}]",2012-07-16,2023-09-25
2012-0012-ALB,No,nat-met-ext-sev,Natural,Meteorological,Extreme temperature,Severe winter conditions,GLIDE:CW-2012-000006,,ALB,Albania,Southern Europe,Europe,"Puke, Shkoder, Kukes, Librazhd, Korce provinces, Peshkopi district (Diber province)",,,No,No,No,,,°C,,,,2012,1,,2012,2,,5,,230000,,230000,,,,,,,73.19159161,"[{""adm1_code"":318,""adm1_name"":""Korce""},{""adm1_code"":321,""adm1_name"":""Kukes""},{""adm1_code"":324,""adm1_name"":""Librazhd""},{""adm1_code"":333,""adm1_name"":""Puke""},{""adm1_code"":335,""adm1_name"":""Shkoder""},{""adm2_code"":3813,""adm2_name"":""Peshkopi""}]",2012-07-17,2023-09-25
2012-0012-SRB,No,nat-met-ext-sev,Natural,Meteorological,Extreme temperature,Severe winter conditions,GLIDE:CW-2012-000006,,SRB,Serbia,Southern Europe,Europe,"Istog, Peja, Gjakova, Klina cities (Pecki province), Kamenica city (Nisavski province), Dragash, Rahovec, Prizren, Malisheva, Suhareka cities (Prizremski province), Skenderaj, Vushtrri, Mitrovica, Leposavic, Zubin Potok, Zvecan cities (Kosovsko-mitrovatski province), Novo Brde, Podujeva, Prishtina, Kacanik, Obiliq, Shtime, Strpce cities (Kosovski province), Vitina city (Kosovsko-pomoravski province), Gracanica city (Macvanski province)",,,No,No,No,,,°C,,,,2012,1,6,2012,2,,9,,18234,,18234,,,,,,,73.19159161,"[{""adm1_code"":25378,""adm1_name"":""Kosovski""},{""adm1_code"":25379,""adm1_name"":""Kosovsko-mitrovatski""},{""adm1_code"":25380,""adm1_name"":""Kosovsko-pomoravski""},{""adm1_code"":25381,""adm1_name"":""Macvanski""},{""adm1_code"":25383,""adm1_name"":""Nisavski""},{""adm1_code"":25385,""adm1_name"":""Pecki""},{""adm1_code"":25389,""adm1_name"":""Prizremski""}]",2012-07-17,2023-09-25
2012-0015-IND,No,nat-met-ext-col,Natural,Meteorological,Extreme temperature,Cold wave,,,IND,India,Southern Asia,Asia,"Karimnagar, Vishakhapatnam, Guntur districts (Andhra Pradesh province)",,,No,No,No,,,°C,,,,2012,1,15,2012,1,17,15,,,,,,,,,,,73.19159161,"[{""adm2_code"":17552,""adm2_name"":""Guntur""},{""adm2_code"":17554,""adm2_name"":""Karimnagar""},{""adm2_code"":17566,""adm2_name"":""Vishakhapatnam""}]",2012-01-24,2023-09-25
2012-0019-AUT,No,nat-met-ext-col,Natural,Meteorological,Extreme temperature,Cold wave,GLIDE:CW-2012-000006,,AUT,Austria,Western Europe,Europe,"Burgenland, Karnten, Niedterosterreich, Oberosterreich, Salzburg, Steiermark, Tirol, Voralberg, Wien provinces",,,No,No,No,,,°C,,,,2012,2,,2012,2,,5,,,,,,,,,,,73.19159161,"[{""adm1_code"":478,""adm1_name"":""Burgenland""},{""adm1_code"":479,""adm1_name"":""Karnten""},{""adm1_code"":480,""adm1_name"":""Niederosterreich""},{""adm1_code"":481,""adm1_name"":""Oberosterreich""},{""adm1_code"":482,""adm1_name"":""Salzburg""},{""adm1_code"":483,""adm1_name"":""Steiermark""},{""adm1_code"":484,""adm1_name"":""Tirol""},{""adm1_code"":485,""adm1_name"":""Vorarlberg""},{""adm1_code"":486,""adm1_name"":""Wien""}]",2012-08-22,2023-09-25
2012-0019-AZE,No,nat-met-ext-col,Natural,Meteorological,Extreme temperature,Cold wave,GLIDE:CW-2012-000006,,AZE,Azerbaijan,Western Asia,Asia,Baku district (Absheron province),,,No,No,No,,-11,°C,,,,2012,2,,2012,2,,5,,,,,,,,,,,73.19159161,"[{""adm2_code"":495,""adm2_name"":""Baku""}]",2012-02-10,2023-09-25
2012-0019-BEL,No,nat-met-ext-col,Natural,Meteorological,Extreme temperature,Cold wave,GLIDE:CW-2012-000006,,BEL,Belgium,Western Europe,Europe,Vlaams Gewest province,,,No,No,No,,,°C,,,,2012,2,,2012,2,,3,,,,,,,,,,,73.19159161,"[{""adm1_code"":601,""adm1_name"":""Vlaams Gewest""}]",2012-02-10,2023-09-25
2012-0019-BGR,No,nat-met-ext-col,Natural,Meteorological,Extreme temperature,Cold wave,GLIDE:CW-2012-000006,,BGR,Bulgaria,Eastern Europe,Europe,"Chirpan district (Stara Zagora province), Sevlievo district (Gabrovo province), Varna district (Varna province)",,,Yes,No,No,,-30,°C,,,,2012,1,,2012,2,,30,,,,,,,,,,,73.19159161,"[{""adm2_code"":11886,""adm2_name"":""Sevlievo""},{""adm2_code"":12052,""adm2_name"":""Chirpan""},{""adm2_code"":12077,""adm2_name"":""Varna""}]",2012-02-10,2023-09-25
2012-0019-BIH,No,nat-met-ext-col,Natural,Meteorological,Extreme temperature,Cold wave,GLIDE:CW-2012-000006,,BIH,Bosnia and Herzegovina,Southern Europe,Europe,"Sokolac, Cajnice, Kalinovik, Stari Grad, Kladanj, Krupes, Han Pijesak districts (Republika Srpska province), Luka, Krusev Do, Bozici (Srebrenica districts, Republika Srpska province), Drvar, Kupres (Zapadnobosanski district, Federacija Bosne I Hercegovine province)",,,Yes,No,Yes,,-32.5,°C,,,,2012,2,2,2012,2,7,4,,10347,,10347,,,,,,,73.19159161,"[{""adm2_code"":6248,""adm2_name"":""Zapadnobosanski""},{""adm2_code"":6263,""adm2_name"":""Cajnice""},{""adm2_code"":6274,""adm2_name"":""Han Pijesak""},{""adm2_code"":6279,""adm2_name"":""Kalinovik""},{""adm2_code"":6280,""adm2_name"":""Kladanj""},{""adm2_code"":6284,""adm2_name"":""Kupres""},{""adm2_code"":6306,""adm2_name"":""Sokolac""},{""adm2_code"":6308,""adm2_name"":""Srebrenica""},{""adm2_code"":6309,""adm2_name"":""Stari Grad""}]",2012-07-18,2023-09-25
2012-0019-BLR,No,nat-met-ext-col,Natural,Meteorological,Extreme temperature,Cold wave,GLIDE:CW-2012-000006,,BLR,Belarus,Eastern Europe,Europe,"Vitebsk, Miory, Glubokoe, Polotsk, Postavy districts (Vitebsk province), Minsk city, Minsk, Stolbtsy, Molodechno, Borisov, Slutsk districts (Minsk province), Gomel city (Gomel district, Gomel province), Rechista, Zhlobin, Mozyr districts (Gomel province), Lida, Slonim, Volkovysk districts (Grodno province), Brest, Mogilev provinces",,,No,No,No,,,°C,,,,2012,1,,2012,2,,,30,100,,130,,,,,,,73.19159161,"[{""adm1_code"":593,""adm1_name"":""Brest""},{""adm1_code"":597,""adm1_name"":""Minsk City""},{""adm1_code"":598,""adm1_name"":""Mogilev""},{""adm2_code"":39919,""adm2_name"":""Gomel""},{""adm2_code"":39925,""adm2_name"":""Mozyr""},{""adm2_code"":39929,""adm2_name"":""Rechitsa""},{""adm2_code"":39934,""adm2_name"":""Zhlobin""},{""adm2_code"":39940,""adm2_name"":""Lida""},{""adm2_code"":39946,""adm2_name"":""Slonim""},{""adm2_code"":39949,""adm2_name"":""Volkovysk""},{""adm2_code"":39953,""adm2_name"":""Borisov""},{""adm2_code"":39961,""adm2_name"":""Minsk""},{""adm2_code"":39963,""adm2_name"":""Molodechno""},{""adm2_code"":39966,""adm2_name"":""Slutsk""},{""adm2_code"":39970,""adm2_name"":""Stolbtsy""},{""adm2_code"":40000,""adm2_name"":""Glubokoe""},{""adm2_code"":40004,""adm2_name"":""Miory""},{""adm2_code"":40006,""adm2_name"":""Polotsk""},{""adm2_code"":40007,""adm2_name"":""Postavy""},{""adm2_code"":40015,""adm2_name"":""Vitebsk""}]",2012-02-02,2023-09-25
2012-0019-CHE,No,nat-met-ext-col,Natural,Meteorological,Extreme temperature,Cold wave,GLIDE:CW-2012-000006,,CHE,Switzerland,Western Europe,Europe,"Graubunden, Neuchatel provinces",,,No,No,No,,-35.1,°C,,,,2012,2,7,2012,2,7,,,,,,,,,,,,73.19159161,"[{""adm1_code"":2816,""adm1_name"":""Graubunden""},{""adm1_code"":2819,""adm1_name"":""Neuchatel""}]",2012-02-07,2023-09-25
2012-0019-CZE,No,nat-met-ext-col,Natural,Meteorological,Extreme temperature,Cold wave,GLIDE:CW-2012-000006,,CZE,Czechia,Eastern Europe,Europe,Opava district (Severomoravsky province),,,No,No,No,,,°C,,,,2012,1,,2012,2,,25,,,,,,,,,,,73.19159161,"[{""adm2_code"":14852,""adm2_name"":""Opava""}]",2012-02-07,2023-09-25
2012-0019-DEU,No,nat-met-ext-col,Natural,Meteorological,Extreme temperature,Cold wave,GLIDE:CW-2012-000006,,DEU,Germany,Western Europe,Europe,"Baden-Wuerttemberg, Bayern, Berlon, Brandenburg, Bremen, Hamburg, Hessen, Mecklenburg-Vorpommern, Niedersachsen, Nordrhein-Westfalen, Rheinland-Pfalz, Saarland, Sachsen, Sachsen-Anhalt, Schleswig-Holstein, Thueringen provinces",,,No,No,No,,,°C,,,,2012,2,,2012,2,,4,,,,,,,,,,,73.19159161,"[{""adm1_code"":1308,""adm1_name"":""Baden-Wuerttemberg""},{""adm1_code"":1309,""adm1_name"":""Bayern""},{""adm1_code"":1310,""adm1_name"":""Berlin""},{""adm1_code"":1311,""adm1_name"":""Brandenburg""},{""adm1_code"":1312,""adm1_name"":""Bremen""},{""adm1_code"":1313,""adm1_name"":""Hamburg""},{""adm1_code"":1314,""adm1_name"":""Hessen""},{""adm1_code"":1315,""adm1_name"":""Mecklenburg-Vorpommern""},{""adm1_code"":1316,""adm1_name"":""Niedersachsen""},{""adm1_code"":1317,""adm1_name"":""Nordrhein-Westfalen""},{""adm1_code"":1318,""adm1_name"":""Rheinland-Pfalz""},{""adm1_code"":1319,""adm1_name"":""Saarland""},{""adm1_code"":1320,""adm1_name"":""Sachsen""},{""adm1_code"":1321,""adm1_name"":""Sachsen-Anhalt""},{""adm1_code"":1322,""adm1_name"":""Schleswig-Holstein""},{""adm1_code"":1323,""adm1_name"":""Thueringen""}]",2012-02-10,2023-09-25
2012-0019-EST,No,nat-met-ext-col,Natural,Meteorological,Extreme temperature,Cold wave,GLIDE:CW-2012-000006,,EST,Estonia,Northern Europe,Europe,"Harju maakond, Hiiu maakond, Ida-Viru maakond, Jarva maakond, Jõgeva maakond, Laane-Viru maakond, Laane maakond, Parnu maakond, Polva maakond, Rapla maakond, Saare maakond, Tartu maakond, Valga maakond, Viljandi maakond, Viljandi maakond, Voru maakond provinces + Administrative unit not available province",,,No,No,No,,,°C,,,,2012,2,,2012,2,,1,,,,,,,,,,,73.19159161,"[{""adm1_code"":1212,""adm1_name"":""Harju maakond""},{""adm1_code"":1213,""adm1_name"":""Hiiu maakond""},{""adm1_code"":1214,""adm1_name"":""Ida-Viru maakond""},{""adm1_code"":1215,""adm1_name"":""Järva maakond""},{""adm1_code"":1216,""adm1_name"":""Jõgeva maakond""},{""adm1_code"":1217,""adm1_name"":""Lääne-Viru maakond""},{""adm1_code"":1218,""adm1_name"":""Lääne maakond""},{""adm1_code"":1219,""adm1_name"":""Pärnu maakond""},{""adm1_code"":1220,""adm1_name"":""Põlva maakond""},{""adm1_code"":1221,""adm1_name"":""Rapla maakond""},{""adm1_code"":1222,""adm1_name"":""Saare maakond""},{""adm1_code"":1223,""adm1_name"":""Tartu maakond""},{""adm1_code"":1224,""adm1_name"":""Valga maakond""},{""adm1_code"":1225,""adm1_name"":""Viljandi maakond""},{""adm1_code"":1226,""adm1_name"":""Võru maakond""},{""adm1_code"":149727,""adm1_name"":""Administrative unit not available""}]",2012-02-07,2023-09-25
2012-0019-FRA,No,nat-met-ext-col,Natural,Meteorological,Extreme temperature,Cold wave,GLIDE:CW-2012-000006,,FRA,France,Western Europe,Europe,"Alsace, Aquitaine, Auvergne, Basse-Normandie, Bourgogne, Bretagne, Centre, Champagne-Ardenne, Corse, Franche-Compte, Haute-Normandie, Ile-de-France, Languedoc-Rousillon, Limousin, Lorraine, Nord-Pas-de-Calais, Pays-de-la-Loire, Picardie, Poitou-Charentes, Provence-Alpes-Côte-D'azur, Rhône-Alpes, Midi-Pyrénées provinces",,,No,No,No,,,°C,,,,2012,2,,2012,2,,12,,,,,,,,,,,73.19159161,"[{""adm1_code"":1248,""adm1_name"":""Alsace""},{""adm1_code"":1249,""adm1_name"":""Aquitaine""},{""adm1_code"":1250,""adm1_name"":""Auvergne""},{""adm1_code"":1251,""adm1_name"":""Basse-Normandie""},{""adm1_code"":1252,""adm1_name"":""Bourgogne""},{""adm1_code"":1253,""adm1_name"":""Bretagne""},{""adm1_code"":1254,""adm1_name"":""Centre""},{""adm1_code"":1255,""adm1_name"":""Champagne-Ardenne""},{""adm1_code"":1256,""adm1_name"":""Corse""},{""adm1_code"":1257,""adm1_name"":""Franche-Comte""},{""adm1_code"":1258,""adm1_name"":""Haute-Normandie""},{""adm1_code"":1259,""adm1_name"":""Ile-de-France""},{""adm1_code"":1260,""adm1_name"":""Languedoc-Rousillon""},{""adm1_code"":1262,""adm1_name"":""Limousin""},{""adm1_code"":1263,""adm1_name"":""Lorraine""},{""adm1_code"":1264,""adm1_name"":""Midi-Pyrenees""},{""adm1_code"":1265,""adm1_name"":""Nord-Pas-de-Calais""},{""adm1_code"":1266,""adm1_name"":""Pays-de-la-Loire""},{""adm1_code"":1267,""adm1_name"":""Picardie""},{""adm1_code"":1268,""adm1_name"":""Poitou-Charentes""},{""adm1_code"":1269,""adm1_name"":""Provence-Alpes-Cote-d'Azur""},{""adm1_code"":1270,""adm1_name"":""Rhone-Alpes""}]",2012-02-10,2023-09-25
2012-0019-GRC,No,nat-met-ext-col,Natural,Meteorological,Extreme temperature,Cold wave,GLIDE:CW-2012-000006,,GRC,Greece,Southern Europe,Europe,"Anatoliki Makedonia Kai Thraki, Attiki, Dytiki Ellada, Dytiki Makedonia, Ionioi Nisoi, Ipeiros, Kentriki Makedonia, Kriti, Notio Aigaio, Peloponnisos, Sterea Elleda, Thessalia, Voreio Aigaio provinces",,,No,No,No,,,°C,,,,2012,2,,2012,2,,5,,,,,,,,,,,73.19159161,"[{""adm1_code"":1336,""adm1_name"":""Anatoliki Makedonia Kai Thraki""},{""adm1_code"":1337,""adm1_name"":""Attiki""},{""adm1_code"":1338,""adm1_name"":""Dytiki Ellada""},{""adm1_code"":1339,""adm1_name"":""Dytiki Makedonia""},{""adm1_code"":1340,""adm1_name"":""Ionioi Nisoi""},{""adm1_code"":1341,""adm1_name"":""Ipeiros""},{""adm1_code"":1342,""adm1_name"":""Kentriki Makedonia""},{""adm1_code"":1343,""adm1_name"":""Kriti""},{""adm1_code"":1345,""adm1_name"":""Peloponnisos""},{""adm1_code"":1346,""adm1_name"":""Sterea Ellada""},{""adm1_code"":1347,""adm1_name"":""Thessalia""},{""adm1_code"":1348,""adm1_name"":""Voreio Aigaio""},{""adm1_code"":40766,""adm1_name"":""Notio Aigaio""}]",2012-02-10,2023-09-25
2012-0019-HRV,No,nat-met-ext-col,Natural,Meteorological,Extreme temperature,Cold wave,GLIDE:CW-2012-000006,,HRV,Croatia,Southern Europe,Europe,"Bjelovar-bilogora, Dubrovnik-Neretva, Grad Zagreb, Istra, Karlovac, Koprivinca-krizevci, Krapina-zagorje, Lika-senj, Medimurje, Osijek-baranja, Pozega-slavonija, Primorje-gorski Kota, Šibenik, Sisak-moslavia, Slavonski Brod-posav, Split-dalmatija, Varazdin, Vukovar-srijem, Zadar-Knin, Zagrb, Virovitica-podravina provinces",,,No,No,No,,,°C,,,,2012,2,,2012,2,,3,,,,,,,,,,,73.19159161,"[{""adm1_code"":988,""adm1_name"":""Bjelovar-bilogora""},{""adm1_code"":989,""adm1_name"":""Dubrovnik-neretva""},{""adm1_code"":990,""adm1_name"":""Grad Zagreb""},{""adm1_code"":991,""adm1_name"":""Istra""},{""adm1_code"":992,""adm1_name"":""Karlovac""},{""adm1_code"":993,""adm1_name"":""Koprivnica-krizevci""},{""adm1_code"":994,""adm1_name"":""Krapina-zagorje""},{""adm1_code"":995,""adm1_name"":""Lika-senj""},{""adm1_code"":996,""adm1_name"":""Medimurje""},{""adm1_code"":997,""adm1_name"":""Osijek-baranja""},{""adm1_code"":998,""adm1_name"":""Pozega-slavonija""},{""adm1_code"":999,""adm1_name"":""Primorje-gorski Kota""},{""adm1_code"":1000,""adm1_name"":""Sibenik""},{""adm1_code"":1001,""adm1_name"":""Sisak-moslavina""},{""adm1_code"":1002,""adm1_name"":""Slavonski Brod-posav""},{""adm1_code"":1003,""adm1_name"":""Split-dalmatija""},{""adm1_code"":1004,""adm1_name"":""Varazdin""},{""adm1_code"":1005,""adm1_name"":""Virovitica-podravina""},{""adm1_code"":1006,""adm1_name"":""Vukovar-srijem""},{""adm1_code"":1007,""adm1_name"":""Zadar-knin""},{""adm1_code"":1008,""adm1_name"":""Zagreb""}]",2012-02-07,2023-09-25
2012-0019-HUN,No,nat-met-ext-col,Natural,Meteorological,Extreme temperature,Cold wave,GLIDE:CW-2012-000006,,HUN,Hungary,Eastern Europe,Europe,"Bacs-kiskun, Baranya, Bekes, Borsod-abauj-zemplen, Budapest, Csongrád, Fejér, Gyor-moson-sopron, Hajdu-bihar, Heves, Jasz-nagykun-szolnok, Komarom-esztergom, Nógrád, Pest, Somogy, Szabolcs-szatmar-bereg, Tolna, Vas, Veszprém, Zala",,,No,No,No,,,°C,,,,2012,2,,2012,2,,16,,,,,,,,,,,73.19159161,"[{""adm1_code"":1440,""adm1_name"":""Bacs-kiskun""},{""adm1_code"":1441,""adm1_name"":""Baranya""},{""adm1_code"":1442,""adm1_name"":""Bekes""},{""adm1_code"":1443,""adm1_name"":""Borsod-abauj-zemplen""},{""adm1_code"":1444,""adm1_name"":""Budapest""},{""adm1_code"":1445,""adm1_name"":""Csongrad""},{""adm1_code"":1446,""adm1_name"":""Fejer""},{""adm1_code"":1447,""adm1_name"":""Gyor-moson-sopron""},{""adm1_code"":1448,""adm1_name"":""Hajdu-bihar""},{""adm1_code"":1449,""adm1_name"":""Heves""},{""adm1_code"":1450,""adm1_name"":""Jasz-nagykun-szolnok""},{""adm1_code"":1451,""adm1_name"":""Komarom-esztergom""},{""adm1_code"":1452,""adm1_name"":""Nograd""},{""adm1_code"":1453,""adm1_name"":""Pest""},{""adm1_code"":1454,""adm1_name"":""Somogy""},{""adm1_code"":1455,""adm1_name"":""Szabolcs-szatmar-bereg""},{""adm1_code"":1456,""adm1_name"":""Tolna""},{""adm1_code"":1457,""adm1_name"":""Vas""},{""adm1_code"":1458,""adm1_name"":""Veszprem""},{""adm1_code"":1459,""adm1_name"":""Zala""}]",2012-02-07,2023-09-25
2012-0019-ITA,No,nat-met-ext-col,Natural,Meteorological,Extreme temperature,Cold wave,GLIDE:CW-2012-000006,,ITA,Italy,Southern Europe,Europe,"Milano district (Lombardia province), Abruzzi, Emilia-romagna, Marche, Umbria, Toscana, Campania, Sicilia provinces",,,No,No,Yes,,-25,°C,,,,2012,2,,2012,2,,45,,,,,,,,,132601,181170,73.19159161,"[{""adm1_code"":1616,""adm1_name"":""Abruzzi""},{""adm1_code"":1619,""adm1_name"":""Campania""},{""adm1_code"":1620,""adm1_name"":""Emilia-romagna""},{""adm1_code"":1625,""adm1_name"":""Marche""},{""adm1_code"":1630,""adm1_name"":""Sicilia""},{""adm1_code"":1631,""adm1_name"":""Toscana""},{""adm1_code"":1633,""adm1_name"":""Umbria""},{""adm2_code"":18363,""adm2_name"":""Milano""}]",2012-02-08,2023-09-25
